track_id,initial_morphology,final_morphology,morphology_label,num_transitions,formation_frame,dissolution_frame,lifetime_frames,lifetime_minutes,max_length,mean_intensity_avg
3,filament,filament,filament,0,4,5,2,28.8,23.96155339543788,0.489328750752165
6,filament,filament,filament,0,8,12,5,72.0,29.340348213361448,0.4752830636086426
8,filament,filament,filament,0,15,19,5,72.0,33.74518155315082,0.6264147270548636
9,filament,filament,filament,0,16,18,3,43.2,24.547702844743142,0.6222516711462553
11,filament,filament,filament,0,22,28,7,100.8,31.438302260904234,0.6258570513751021
12,filament,filament,filament,0,27,28,2,28.8,26.450002316009595,0.5432943118740621
13,filament,filament,filament,0,30,47,18,259.2,27.523963760024618,0.5914809848923587
14,filament,filament,filament,0,31,33,3,43.2,25.289696855422836,0.5289885747016129
17,filament,filament,filament,0,46,48,3,43.2,24.16598506323392,0.550485061181498
19,filament,filament,filament,0,50,57,8,115.2,25.917298216364905,0.4676165862099259
22,filament,filament,filament,0,67,72,6,86.4,31.3008950718342,0.6063954241137748
23,filament,filament,filament,0,78,79,2,28.8,22.93805668936456,0.6174442035993266
25,filament,filament,filament,0,82,83,2,28.8,27.4095596018374,0.6165725744957582
26,filament,filament,filament,0,86,89,4,57.6,29.11206625676398,0.6181086246027915
27,filament,filament,filament,0,92,93,2,28.8,25.41104819262931,0.5751442400645594
